business_id,name,rating,rating_bucket
Tta8AYBZq3fwr1n2up75vQ,Eureka!,4.1,High (4–5 stars)
FbZLY5XASP9phByStRTSaw,Doc B's Restaurant + Bar,4.4,High (4–5 stars)
Wn8j-1-ity6hdjP4bC_wkw,Sip Pho,4.5,High (4–5 stars)
EoIJZMBqFwX-TNAj6rmctg,Ichi Umi Sushi,4.3,High (4–5 stars)
pS_RoFsMCMFvoFMSSCJR9w,Salt Traders Zilker,4.3,High (4–5 stars)
eJ7X_8KXVlyHZtGrrLz4yg,Lamberts Downtown Barbecue,3.8,Medium (3–4 stars)
Unl62KlI0kwF8pToy7QjSA,Vic & Al's,4.6,High (4–5 stars)
97bK6WFJdJzy0oNNb3X6Hg,Fixe Austin's Southern House,4.1,High (4–5 stars)
8sEbM_ACHUbBsZ-TRZFXWA,Home Slice Pizza,4.5,High (4–5 stars)
8RPIjybMh5Eg90eVsv3fRQ,Via 313 Pizza,4.5,High (4–5 stars)
gaDwde0ErnE4OJVLAuAUpw,Nido,4.2,High (4–5 stars)
ooRIabaNiaKtpEeEsIpTkw,Postino Bryker Woods,4.7,High (4–5 stars)
acMhW2yiFCNU6PoGiHxvPQ,El Alma,4.1,High (4–5 stars)
4htpnlDZ6zAfpvEwPw1CDQ,Eddie V's Prime Seafood,4.4,High (4–5 stars)
OD2IZRD5qopWWHHR-blN8Q,Ramen Tatsu-Ya,4.1,High (4–5 stars)
J0oTYJx-dGn5yk926s6eGw,DeSano Pizzeria Napoletana,4.5,High (4–5 stars)
PrWSjn4a8o4dHoqKs53GBA,Bird Bird Biscuit,4.7,High (4–5 stars)
GZfHsTQAabxdXB_z30h6kw,DeSano Pizzeria Napoletana,4.7,High (4–5 stars)
pSOf1v4Wcnxe09ErQmOtJw,Ember Kitchen,4.6,High (4–5 stars)
ZJFIDLUiZ2Vs0NTj0pGVfg,Perry's Steakhouse & Grille - Downtown Austin,4.1,High (4–5 stars)
UacakYbLnef2TYU2YDrtuw,Perla's,3.9,Medium (3–4 stars)
4h-O6wPWswMbVowT_lYn9g,Tiki Tatsu-Ya,4.2,High (4–5 stars)
z4fQL2IHUR4ENonH7A_9tQ,Fonda San Miguel,4.1,High (4–5 stars)
EPkf96UcG2W3ttlQphWUGQ,la Barbecue,4.3,High (4–5 stars)
vwwG4ZL46BBXeZMdrhi8PQ,Eberly,4,High (4–5 stars)
GbsVsvABa4d3tDJRJdRs-Q,Jack Allen's Kitchen,4.3,High (4–5 stars)
TSKMu1M0HAFoPvCZuJxx1w,Comedor,4.1,High (4–5 stars)
Bz-NZ-2Dx6pztO0nvfD3JA,Nori,4.6,High (4–5 stars)
9e5lIroM6Eyd4aS26pWWEQ,Cooper's Old Time Pit Bar-B-Que,4,High (4–5 stars)
4T4iO_t5iz6SbHrphY2fGA,CARVE American Grille - Central Austin,4.1,High (4–5 stars)
U72ZAUh47P1cX-91jqLpJw,Emmer & Rye,4,High (4–5 stars)
iuy7Wk41ZlSzk2DhNv0ymQ,TenTen,4.3,High (4–5 stars)
27FZ6pNit3mbKA0MysZgaQ,Tatsumi Sushi,4.7,High (4–5 stars)
KYr5xhJZ4_7Dzm1wIrW__w,The Peached Tortilla,4.2,High (4–5 stars)
43N-TKU1m-y4FljMA0VXCg,Culinary Dropout,4.1,High (4–5 stars)
2YSJoXu7pUe_BT5XqbPz4Q,Nomade,4.4,High (4–5 stars)
67bZm-KQQCwSat7_jmiVbA,Hopdoddy Burger Bar,4,High (4–5 stars)
r0LLzy0DYJz02Nc4XCg7rw,Clark's Oyster Bar - Austin,4.1,High (4–5 stars)
wQ8XK2NJAL2csx_LmZfz4g,Eldorado Cafe,4.5,High (4–5 stars)
CqOkl94q9ttvYNWIITA8ow,Swift's Attic,4,High (4–5 stars)
I6OrRuUmbIYoVRevwlUTrg,J Prime Steakhouse - Austin,4.5,High (4–5 stars)
nyDs0CD-lFysI3oIG9T5bw,Wu Chow,3.9,Medium (3–4 stars)
X7fLdR3A_0hJCBqv3-7O-A,Eddie V's Prime Seafood,4.4,High (4–5 stars)
yqL1P6wcSZYQAgpO3TfhBQ,Kemuri Tatsu-ya,4,High (4–5 stars)
hpttZ0nryCCmV1hxwN3ZGg,ATX Cocina,4.2,High (4–5 stars)
SRwJ6tNJ6r7hQ3uQ7hIBpQ,Bartlett's,4.1,High (4–5 stars)
hveKjJmiPTcUS4sKuvZBYg,Jeffrey's,4.1,High (4–5 stars)
zDVjN3dC9EfQno21m3O8Pg,Stiles Switch BBQ & Brew,4.1,High (4–5 stars)
MnO3YMUGAnkHm-iy5wo0mQ,Intero Restaurant,4.6,High (4–5 stars)
tG7C9aZpYmj0-Z8hZC-0cg,SLAB BBQ & Beer,4.3,High (4–5 stars)
_dX5kPHrplgQOpk1hBE7mg,Simar Seafood  Cocina,4.5,High (4–5 stars)
Arkwh6sIktiIjimtIiONXg,Lutie’s,4.2,High (4–5 stars)
lIXsFNSHZmhfD0dlbV4lSg,Santorini Cafe,4.7,High (4–5 stars)
tSUDZZ95ky1xiPXBGG6s1g,Uchibā Austin,4.4,High (4–5 stars)
xyvGNML9BW-3seLMqeYCWA,Colleen's Kitchen,4,High (4–5 stars)
PXDwg6vXCzmpqnht6qmAnw,North Italia,3.9,Medium (3–4 stars)
KEh3efWSOIzd8BvuW-X4-g,Phoebe's Diner,4.5,High (4–5 stars)
