business_id,name,rating,review_count,momentum_score
KYr5xhJZ4_7Dzm1wIrW__w,The Peached Tortilla,4.2,1119,29.48855265001439
z4fQL2IHUR4ENonH7A_9tQ,Fonda San Miguel,4.1,1320,29.46319164854153
zZIWHmITwqaC8OhnPkjEIQ,"Snooze, an A.M. Eatery",4.1,1316,29.450757977147447
P2fi7qugfLPOFSxscpaAxg,Anthem,4.4,799,29.412291601738882
Tta8AYBZq3fwr1n2up75vQ,Eureka!,4.1,1262,29.27910500163701
Oj0dSJ9oL1jqf6Ud6cOYkA,Roaring Fork,4,1495,29.24220063413769
C9QXRfi43sYP5lXkNGrM7A,Lazarus Brewing,4.5,662,29.23548745583638
4-RkxDM200qfSG756uVmtQ,Péché,4,1473,29.182940290997127
eZE0FdYB9rUvbuPS4fNyYA,Arturo's Underground Cafe,4.3,879,29.15366420213068
eJ7X_8KXVlyHZtGrrLz4yg,Lamberts Downtown Barbecue,3.8,2088,29.04887489391495
SRwJ6tNJ6r7hQ3uQ7hIBpQ,Bartlett's,4.1,1118,28.78278190407889
Qmq4gr5Mmo2oIVejag48PA,Kerbey Lane Cafe - Central,3.9,1565,28.689491518547918
GZfHsTQAabxdXB_z30h6kw,DeSano Pizzeria Napoletana,4.7,445,28.671499074494303
Lcb9FB6Y_EhLEiJVUJ7tVA,Dai Due,4.3,784,28.662439986464353
Z3Y4h9RmBB0jCHJC0CMXbg,Quince Lakehouse,4.4,664,28.59906297888576
BHZ9puL8YuHE-YEdkmxH-g,Canje,4.5,574,28.594665183588077
X7fLdR3A_0hJCBqv3-7O-A,Eddie V's Prime Seafood,4.4,663,28.59244145769631
97bK6WFJdJzy0oNNb3X6Hg,Fixe Austin's Southern House,4.1,1040,28.486541981321373
A7M_2DiB8Xvj3NTs1RGfDg,Truluck's Ocean's Finest Seafood & Crab,4.3,751,28.477766192984312
CqOkl94q9ttvYNWIITA8ow,Swift's Attic,4,1232,28.468822012657377
1hJEqPHe65oJmO6scIKvKA,Tumble 22 Chicken Joint,4,1227,28.45256843482835
fWgfmVcdwx_vY4wSphV1Lw,Soto South Lamar,4.3,720,28.29674829032528
kqeblz37dvpiwy7-l9VfXA,Ceviche7,4.8,361,28.279892216763702
D0a-5tvB43JItaD0cvImhA,MezzeMe,4.4,596,28.12443529892745
GbsVsvABa4d3tDJRJdRs-Q,Jack Allen's Kitchen,4.3,680,28.0513179164429
iiHcYdhd1CeDJjFZVCtKgg,Buddy's Burger,4.3,671,27.994110864249542
hpttZ0nryCCmV1hxwN3ZGg,ATX Cocina,4.2,782,27.985157323161374
Uav2xHxqZZxy4eblNB--PA,Fukumoto Sushi & Yakitori,4.3,666,27.961997197437178
ZvYDNfxeJgnB0_9jwSAsxQ,Mandola's Italian,3.9,1256,27.832284513501964
yqL1P6wcSZYQAgpO3TfhBQ,Kemuri Tatsu-ya,4,1049,27.826181772606276
r0LLzy0DYJz02Nc4XCg7rw,Clark's Oyster Bar - Austin,4.1,879,27.79767982063623
i1GWpxJ1Phm2awhVaTkouA,Juniper,4.2,740,27.753602626243566
Wn8j-1-ity6hdjP4bC_wkw,Sip Pho,4.5,475,27.744380344041392
k8KHoiDklnXDtXvLyxbd-w,Black's Barbecue Austin,4,1018,27.7063081328909
08wLD2pUdZV73zHywMpREA,Musashino Sushi Dokoro,4.1,857,27.693876807900644
7ZU9DwctpN_tkC7EOd3C-Q,Ramen Tatsu-Ya,4.1,848,27.650642663876525
1-0Jhx0QpzPk9cGcMYRUDA,Halal Bros,4.2,712,27.591821965740046
U72ZAUh47P1cX-91jqLpJw,Emmer & Rye,4,987,27.582730790991473
LoSheJfJ57sNedZj0GWO5A,Bar Peached,4.3,608,27.570818551152556
nyDs0CD-lFysI3oIG9T5bw,Wu Chow,3.9,1173,27.565870801513363
NplrGF_5kZx5K67CgxqaKg,Marufuku Ramen,4.4,514,27.47433436292044
