geo_cluster_id,business_count,avg_rating,avg_reviews
30.27_-97.75,18,4.2555555555555555,794.0555555555555556
30.27_-97.74,15,4.28,1032.0000000000000000
30.26_-97.74,12,4.216666666666667,1594.9166666666666667
30.25_-97.75,10,4.200000000000001,1814.4000000000000000
30.26_-97.76,9,4.144444444444445,966.5555555555555556
30.30_-97.74,8,4.4,514.2500000000000000
30.25_-97.76,7,4.2857142857142865,1293.5714285714285714
30.26_-97.72,7,4.428571428571429,507.2857142857142857
30.26_-97.73,6,4.216666666666667,612.5000000000000000
30.28_-97.72,5,4.38,1259.0000000000000000
30.36_-97.73,5,4.38,1061.6000000000000000
30.32_-97.74,4,4.324999999999999,562.5000000000000000
30.27_-97.76,4,4.15,778.0000000000000000
30.31_-97.74,4,4.425,1065.2500000000000000
30.25_-97.71,4,4.199999999999999,683.7500000000000000
30.27_-97.73,3,4.3,2757.0000000000000000
30.36_-97.72,3,4.3,1275.0000000000000000
30.31_-97.75,3,4.166666666666667,676.0000000000000000
30.36_-97.74,3,4.366666666666667,638.3333333333333333
30.25_-97.72,3,4.233333333333333,1791.6666666666666667
30.33_-97.74,3,4.233333333333333,870.0000000000000000
30.34_-97.72,3,4.366666666666666,432.6666666666666667
30.30_-97.71,3,4.533333333333333,308.6666666666666667
30.32_-97.73,3,4.166666666666667,1290.0000000000000000
30.28_-97.74,3,4.166666666666667,618.3333333333333333
30.39_-97.74,2,4.4,795.0000000000000000
30.31_-97.71,2,4.25,1044.0000000000000000
30.30_-97.70,2,4,633.5000000000000000
30.32_-97.75,2,4.15,190.5000000000000000
30.30_-97.72,2,4.25,364.0000000000000000
30.26_-97.75,2,4.35,4589.0000000000000000
30.32_-97.72,2,4.15,956.0000000000000000
30.40_-97.72,2,4.25,1531.5000000000000000
30.39_-97.75,2,4.300000000000001,521.5000000000000000
30.34_-97.76,1,3.8,360.0000000000000000
30.35_-97.68,1,4.3,671.0000000000000000
30.30_-97.83,1,3.9,673.0000000000000000
30.26_-97.78,1,4.3,539.0000000000000000
30.28_-97.76,1,4.1,565.0000000000000000
30.25_-97.70,1,4.2,592.0000000000000000
30.34_-97.86,1,4.5,221.0000000000000000
30.35_-97.74,1,4,1227.0000000000000000
30.39_-97.68,1,4.7,1045.0000000000000000
30.25_-97.73,1,4.7,3856.0000000000000000
30.24_-97.73,1,4.4,1276.0000000000000000
30.24_-97.79,1,4.3,93.0000000000000000
30.30_-97.75,1,4.1,857.0000000000000000
30.28_-97.80,1,3.8,478.0000000000000000
30.28_-97.71,1,4.7,1802.0000000000000000
30.33_-97.72,1,4.1,2115.0000000000000000
30.24_-97.80,1,4.5,1080.0000000000000000
30.25_-97.77,1,4.3,2497.0000000000000000
30.29_-97.74,1,4.2,712.0000000000000000
30.24_-97.76,1,4.5,2032.0000000000000000
30.40_-97.73,1,4.5,188.0000000000000000
30.34_-97.73,1,4.5,1509.0000000000000000
30.31_-97.72,1,4.6,1660.0000000000000000
30.24_-97.78,1,4.2,1583.0000000000000000
30.30_-97.78,1,4.4,664.0000000000000000
30.40_-97.74,1,4,1495.0000000000000000
30.27_-97.69,1,4.5,1162.0000000000000000
30.35_-97.75,1,4.3,287.0000000000000000
30.28_-97.75,1,3.9,719.0000000000000000
30.37_-97.72,1,4.3,1351.0000000000000000
30.40_-97.75,1,4.3,751.0000000000000000
30.34_-97.74,1,4.4,1284.0000000000000000
30.28_-97.77,1,4.1,403.0000000000000000
30.34_-97.81,1,4.3,680.0000000000000000
