city,category,business_count,avg_rating,avg_reviews,pressure_index
Austin,cocktail bars,41,4.226829268292684,878.2926829268292683,8519.38834391229
Austin,barbeque,8,4.1875,3337.0000000000000000,6375.164179104478
Austin,breakfast & brunch,24,4.295833333333333,1092.5833333333333333,6104.054316197866
Austin,sandwiches,11,4.418181818181818,2099.1818181818181818,5226.358024691358
Austin,american,14,4.185714285714285,1215.8571428571428571,4066.6894197952224
Austin,new american,23,4.213043478260869,739.6956521739130435,4038.1733746130035
Austin,wine bars,21,4.157142857142857,722.7142857142857143,3650.8247422680415
Austin,bars,14,4.242857142857142,1057.8571428571428571,3490.572390572391
Austin,southern,6,4.166666666666666,2126.5000000000000000,3062.1600000000003
Austin,seafood,21,4.361904761904762,614.7619047619047619,2959.71615720524
Austin,american,12,4.208333333333333,1021.7500000000000000,2913.50495049505
Austin,pizza,9,4.377777777777777,1338.3333333333333333,2751.3959390862947
Austin,southern,5,4.18,2263.0000000000000000,2706.9377990430626
Austin,new american,13,4.215384615384615,863.7692307692307692,2663.813868613139
Austin,italian,14,4.178571428571428,746.6428571428571429,2501.57264957265
Austin,burgers,5,4.28,2003.6000000000000000,2340.6542056074763
Austin,sushi bars,7,4.457142857142857,1423.4285714285714286,2235.5128205128203
Austin,mexican,13,4.246153846153846,659.6153846153846154,2019.4746376811595
Austin,seafood,10,4.279999999999999,863.8000000000000000,2018.2242990654208
Austin,japanese,8,4.5125,1092.8750000000000000,1937.5069252077562
Austin,breakfast & brunch,5,4.299999999999999,1458.0000000000000000,1695.3488372093027
Austin,ramen,5,4.2,1411.0000000000000000,1679.7619047619046
Austin,gastropubs,4,4.050000000000001,1685.2500000000000000,1664.4444444444441
Austin,comfort food,4,4.25,1604.5000000000000000,1510.1176470588234
Austin,steakhouses,7,4.2857142857142865,863.2857142857142857,1410.033333333333
Austin,steakhouses,8,4.2,698.7500000000000000,1330.952380952381
Austin,vietnamese,3,4.533333333333333,1869.0000000000000000,1236.8382352941176
Austin,asian fusion,4,4.199999999999999,1238.0000000000000000,1179.0476190476193
